Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Biology,Sexual Reproduction in Flowering Plants,"The terminal, generally bilobed structure of a typical stamen is called?",Filament,Anther,Connective,Thalamus,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,A typical angiosperm anther is usually:,Monolobed and monothecous,Bilobed and dithecous,Bilobed and monothecous,Monolobed and dithecous,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,How many microsporangia are typically found in an angiosperm anther?,Two,Three,Four,Eight,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,Which of the following represents the innermost wall layer of the microsporangium?,Epidermis,Endothecium,Middle layers,Tapetum,D,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The primary function of the tapetum is to:,Dehisce the anther,Protect the microspores,Nourish the developing pollen grains,Form the pollen tube,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"Fill in the blank: The hard outer layer of a pollen grain, called the exine, is made up of ________.",Cellulose,Sporopollenin,Pectin,Chitin,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Sporopollenin is absent in which specific region of the pollen grain?,Intine,Germ pores,Vegetative cell,Generative cell,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,The intine of a pollen grain is primarily composed of:,Sporopollenin and cellulose,Cellulose and pectin,Lignin and suberin,Pectin and sporopollenin,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"In over 60% of angiosperms, pollen grains are shed at which stage?",2-celled stage,3-celled stage,4-celled stage,1-celled stage,A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"Which cell in a pollen grain is larger, has abundant food reserve, and a large irregularly shaped nucleus?",Generative cell,Vegetative cell,Male gamete,Tapetal cell,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,Severe allergies and bronchial afflictions can be caused by the pollen of which notorious weed in India?,Parthenium (Carrot grass),Eichhornia,Lantana,Cuscuta,A,easy
12,Biology,Sexual Reproduction in Flowering Plants,Pollen grains can be stored for years in liquid nitrogen at what temperature?,-196 °C,-120 °C,-80 °C,-273 °C,A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The basal bulged part of the pistil is known as the:,Stigma,Style,Ovary,Thalamus,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,"A multicarpellary, syncarpous gynoecium is found in:",Papaver,Michelia,Lotus,Rose,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,"A multicarpellary, apocarpous gynoecium is characteristic of:",Papaver,Michelia,Tomato,Mustard,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,The ovule is attached to the placenta by means of a stalk called:,Hilum,Funicle,Nucellus,Micropyle,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The body of the ovule fuses with the funicle in the region called:,Chalaza,Micropyle,Hilum,Integument,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"The basal part of the ovule, opposite to the micropylar end, is called the:",Hilum,Nucellus,Chalaza,Funiculus,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The mass of cells enclosed within the integuments that contains abundant reserve food materials is the:,Endosperm,Nucellus,Embryo sac,Synergids,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The process of formation of megaspores from the megaspore mother cell is called:,Microsporogenesis,Megasporogenesis,Parthenogenesis,Embryogenesis,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,"In a majority of angiosperms, how many megaspores remain functional?",One,Two,Three,Four,A,easy
12,Biology,Sexual Reproduction in Flowering Plants,The method of embryo sac formation from a single megaspore is termed:,Apomixis,Monosporic development,Diplospory,Parthenocarpy,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,A typical mature angiosperm embryo sac is:,8-nucleate and 8-celled,7-nucleate and 8-celled,8-nucleate and 7-celled,7-nucleate and 7-celled,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The cells grouped together at the micropylar end constitute the:,Antipodals,Egg apparatus,Central cell,Polar nuclei,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,The egg apparatus is composed of:,One synergid and two eggs,Two synergids and one egg,Three synergids only,Three eggs only,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Special cellular thickenings at the micropylar tip of synergids are known as:,Obturators,Filiform apparatus,Integuments,Nucellus,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,What is the function of the filiform apparatus?,Nourishes the egg,Produces nectar,Guides the pollen tube into the synergid,Prevents multiple pollen tubes from entering,C,hard
12,Biology,Sexual Reproduction in Flowering Plants,The three cells located at the chalazal end of the embryo sac are called:,Synergids,Antipodals,Polar cells,Secondary nuclei,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,The large central cell of the embryo sac contains how many polar nuclei?,One,Two,Three,Four,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,Transfer of pollen grains from the anther to the stigma of the same flower is called:,Geitonogamy,Xenogamy,Autogamy,Allogamy,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,Flowers which do not open at all are called:,Chasmogamous,Cleistogamous,Dioecious,Monoecious,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which of the following plants produces both chasmogamous and cleistogamous flowers?,Viola (Common pansy),Wheat,Maize,Papaya,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,Cleistogamous flowers are strictly autogamous because:,They lack anthers,They are exposed to wind,There is no chance of cross-pollen landing on the stigma,They require insect pollinators,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Transfer of pollen grains from the anther to the stigma of another flower of the same plant is:,Autogamy,Geitonogamy,Xenogamy,Cleistogamy,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Geitonogamy is functionally cross-pollination but genetically similar to:,Xenogamy,Autogamy,Apomixis,Parthenocarpy,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,The only type of pollination that brings genetically different types of pollen grains to the stigma is:,Autogamy,Geitonogamy,Xenogamy,Cleistogamy,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which is the most common abiotic pollinating agent?,Water,Wind,Insects,Birds,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,Wind pollinated flowers generally have:,Single ovule in each ovary and numerous flowers in an inflorescence,Multiple ovules in an ovary and single flowers,"Large, colorful, and fragrant petals",Nectar glands,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,In which of the following plants is pollination carried out by water?,Water hyacinth,Water lily,Vallisneria,Lotus,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"In seagrasses like Zostera, the pollen grains are:",Spherical and heavy,"Long, ribbon-like and carried passively inside water",Light and non-sticky,Winged,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,The flowers of water hyacinth and water lily are pollinated by:,Water currents,Insects or wind,Birds,Bats,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,Which is the dominant biotic pollinating agent?,Birds,Bats,Bees,Ants,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,Insect-pollinated flowers are usually:,"Small, colorless, and nectarless","Large, colorful, fragrant, and rich in nectar",Microscopic and dry,Green and odorless,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,"The tallest flower, Amorphophallus, provides which specific floral reward to its pollinators?",Edible pollen,Safe place to lay eggs,Excessive nectar,Aromatic oils,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,A moth and the plant Yucca exhibit an obligate mutualistic relationship because:,The moth feeds on the leaves,The plant provides seeds for the moth to eat,The moth cannot complete its life cycle without depositing eggs in the locule of the ovary,The moth builds its nest on the stem,C,hard
12,Biology,Sexual Reproduction in Flowering Plants,Continuous self-pollination in plants results in:,Hybrid vigor,Inbreeding depression,Polyploidy,Heterosis,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,A genetic mechanism that prevents self-pollen from fertilizing the ovules by inhibiting pollen germination is called:,Dichogamy,Herkogamy,Self-incompatibility,Heterostyly,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"If male and female flowers are present on the same plant (e.g., castor and maize), it prevents:",Autogamy but not geitonogamy,Geitonogamy but not autogamy,Both autogamy and geitonogamy,Neither autogamy nor geitonogamy,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,"In papaya, male and female flowers are on different plants (dioecy). This condition prevents:",Only autogamy,Only geitonogamy,Both autogamy and geitonogamy,Neither autogamy nor geitonogamy,C,hard
12,Biology,Sexual Reproduction in Flowering Plants,The ability of the pistil to recognize the pollen followed by its acceptance or rejection is mediated by:,Chemical components of the pollen interacting with those of the pistil,Wind velocity,Temperature of the environment,Color of the petals,A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"If a female parent bears bisexual flowers, removal of anthers from the flower bud before anther dehiscence is called:",Bagging,Emasculation,Tagging,Crossing,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,Why is emasculation not required in plants bearing unisexual female flowers?,Because they don't produce ovules,Because pollen grains cannot land on them,Because there are no anthers in the female flower to cause self-pollination,Because they are apomictic,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"During double fertilization, the fusion of a male gamete with the egg cell is known as:",Triple fusion,Syngamy,Parthenogenesis,Apomixis,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,Syngamy results in the formation of a diploid cell called:,Endosperm,Zygote,Primary Endosperm Nucleus (PEN),Synergid,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,The fusion of the second male gamete with the two polar nuclei is termed:,Syngamy,Plasmogamy,Triple fusion,Karyogamy,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,"Since two types of fusions (syngamy and triple fusion) take place in an embryo sac, the phenomenon is termed:",Double fertilization,Bipartite fertilization,Apomixis,Parthenocarpy,A,easy
12,Biology,Sexual Reproduction in Flowering Plants,"After triple fusion, the central cell becomes the:",Zygote,Primary Endosperm Cell (PEC),Embryo,Nucellus,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The primary endosperm nucleus (PEN) is:,Haploid (n),Diploid (2n),Triploid (3n),Tetraploid (4n),C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Which developmental process occurs first in post-fertilization events?,Embryo development,Endosperm development,Seed coat formation,Fruit ripening,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,Why does endosperm development precede embryo development?,Endosperm is formed from the zygote,Endosperm provides assured nutrition to the developing embryo,Endosperm requires less energy to form,Embryo inhibits its own growth initially,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"In the most common type of endosperm development, the PEN undergoes successive nuclear divisions to give rise to free nuclei. This is called:",Cellular endosperm,Free-nuclear endosperm,Helobial endosperm,Syncytial endosperm,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The water of a tender coconut represents:,Free-nuclear endosperm,Cellular endosperm,Liquid mesocarp,Degenerated nucellus,A,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The white kernel of a mature coconut represents:,Free-nuclear endosperm,Cellular endosperm,Embryo,Seed coat,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,Endosperm is completely consumed by the developing embryo before seed maturation in:,"Pea, groundnut, and beans",Castor and coconut,Wheat and maize,Rice and barley,A,hard
12,Biology,Sexual Reproduction in Flowering Plants,Embryogeny refers to the early stages of:,Endosperm development,Pollen development,Embryo development,Fruit development,C,easy
12,Biology,Sexual Reproduction in Flowering Plants,The correct sequence of embryogeny in dicotyledons is:,Zygote -> Heart-shaped -> Globular -> Mature embryo,Zygote -> Proembryo -> Globular -> Heart-shaped -> Mature embryo,Proembryo -> Zygote -> Heart-shaped -> Globular,Globular -> Zygote -> Proembryo -> Mature embryo,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,A typical dicotyledonous embryo consists of:,Two embryonal axes and one cotyledon,An embryonal axis and two cotyledons,Only two cotyledons,Only an embryonal axis,B,easy
12,Biology,Sexual Reproduction in Flowering Plants,The portion of the embryonal axis above the level of cotyledons is the:,Hypocotyl,Epicotyl,Radicle,Root cap,B,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The epicotyl terminates with the:,Radicle,Root tip,Plumule or stem tip,Coleorhiza,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,The cylindrical portion below the level of cotyledons is the:,Epicotyl,Plumule,Hypocotyl,Scutellum,C,moderate
12,Biology,Sexual Reproduction in Flowering Plants,"In the grass family, the single shield-shaped cotyledon is known as the:",Coleoptile,Scutellum,Epiblast,Coleorhiza,B,hard
12,Biology,Sexual Reproduction in Flowering Plants,"In monocot embryos, the root cap is enclosed in an undifferentiated sheath called:",Coleoptile,Scutellum,Coleorhiza,Epiblast,C,hard
