Class,Subject,Chapter,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
12,Physics,Electrostatic Potential and Capacitance,What is the SI unit of electric potential?,Volt,Joule,Coulomb,Newton / Coulomb,A,easy
12,Physics,Electrostatic Potential and Capacitance,Electric potential is a:,Vector quantity,Scalar quantity,Tensor quantity,Dimensionless quantity,B,easy
12,Physics,Electrostatic Potential and Capacitance,The relation between electric field (E) and potential (V) is given by:,E = -dV/dr,E = dV/dr,V = -dE/dr,V = dE/dr,A,moderate
12,Physics,Electrostatic Potential and Capacitance,The work done in moving a unit positive charge from one point to another on an equipotential surface is:,Positive,Negative,Zero,Infinite,C,easy
12,Physics,Electrostatic Potential and Capacitance,Electric field lines are always ________ to an equipotential surface.,Parallel,Perpendicular,At 45 degrees,Antiparallel,B,moderate
12,Physics,Electrostatic Potential and Capacitance,"For a point charge, the equipotential surfaces are:",Concentric cylinders,Concentric spheres,Parallel planes,Intersecting planes,B,easy
12,Physics,Electrostatic Potential and Capacitance,"For a uniform electric field, the equipotential surfaces are:",Concentric spheres,Concentric cylinders,Parallel planes perpendicular to the field,Parallel planes parallel to the field,C,moderate
12,Physics,Electrostatic Potential and Capacitance,The electric potential inside a hollow charged spherical conductor is:,Zero,Constant and equal to its value on the surface,Inversely proportional to distance from center,Directly proportional to distance from center,B,moderate
12,Physics,Electrostatic Potential and Capacitance,What happens to the capacitance of a parallel plate capacitor when a dielectric slab is introduced between the plates?,Increases,Decreases,Remains same,Becomes zero,A,easy
12,Physics,Electrostatic Potential and Capacitance,The SI unit of capacitance is:,Volt,Farad,Coulomb,Joule,B,easy
12,Physics,Electrostatic Potential and Capacitance,The dimensional formula for capacitance is:,[M^-1 L^-2 T^4 A^2],[M L^2 T^-3 A^-1],[M^-1 L^-1 T^3 A],[M L T^-2 A^-1],A,hard
12,Physics,Electrostatic Potential and Capacitance,Energy stored in a capacitor is given by the formula:,1/2 CV^2,CV^2,1/2 C^2V,Q^2 / C,A,easy
12,Physics,Electrostatic Potential and Capacitance,"When two capacitors are connected in series, the equivalent capacitance is:",Sum of individual capacitances,Less than the smallest individual capacitance,Greater than the largest individual capacitance,Product of individual capacitances,B,moderate
12,Physics,Electrostatic Potential and Capacitance,"When two capacitors are connected in parallel, the equivalent capacitance is:",Sum of individual capacitances,Less than the smallest individual capacitance,Product of the two divided by their sum,Zero,A,easy
12,Physics,Electrostatic Potential and Capacitance,"A dielectric is placed in an isolated, charged capacitor. The potential difference across the plates:",Increases,Decreases,Remains the same,Becomes zero,B,hard
